us-colleges-and-universities
OBJECTID,NAME,STATE,TYPE,COUNTRY,WEBSITE
815,A T STILL UNIVERSITY OF HEALTH SCIENCES,MO,2,USA,WWW.ATSU.EDU
816,AANIIIH NAKODA COLLEGE,MT,1,USA,www.ancollege.edu
246,ABC ADULT SCHOOL,CA,1,USA,https://www.abcadultschool.com
821,ABC BEAUTY ACADEMY,TX,3,USA,www.abcbeautyacademy.webs.com
2278,ABCO TECHNOLOGY,CA,3,USA,www.abcotechnology.edu
924,ABCOTT INSTITUTE,MI,3,USA,www.abcott.edu
944,ABILENE CHRISTIAN UNIVERSITY,TX,2,USA,www.acu.edu
987,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,GA,1,USA,www.abac.edu
627,ABRAHAM LINCOLN UNIVERSITY,CA,3,USA,https://www.alu.edu/
835,ACADEMY COLLEGE,MN,3,USA,www.academycollege.edu
1480,ACADEMY DI CAPELLI-SCHOOL OF COSMETOLOGY,CT,3,USA,www.academydicapelli.com
900,ACADEMY DI FIRENZE,ID,3,USA,www.academydifirenze.com
914,ACADEMY FOR CAREERS AND TECHNOLOGY,SC,1,USA,www.mcact.org
729,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,FL,2,USA,www.acupuncturist.edu
564,ACADEMY FOR JEWISH RELIGION-CALIFORNIA,CA,2,USA,www.ajrca.edu
1443,ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,FL,2,USA,www.ANHO.edu
936,ACADEMY FOR SALON PROFESSIONALS,CA,3,USA,www.academyla.com/
978,ACADEMY OF ART UNIVERSITY,CA,3,USA,www.academyart.edu
1481,ACADEMY OF CAREER TRAINING,FL,3,USA,academyofcareertraining.com
5172,ACADEMY OF CAREERS AND TECHNOLOGY,WV,1,USA,www.wvact.net
731,ACADEMY OF CHINESE CULTURE AND HEALTH SCIENCES,CA,2,USA,www.acchs.edu
4691,ACADEMY OF COSMETOLOGY,WI,3,USA,www.cosmetologycareer.net/
1438,ACADEMY OF COSMETOLOGY,FL,3,USA,FLORIDACOSMETOLOGYSCHOOLS.COM
825,ACADEMY OF COSMETOLOGY,MT,3,USA,www.academycosmetology.com
637,ACADEMY OF COSMETOLOGY AND ESTHETICS,MO,3,USA,acosmetology.com
1297,ACADEMY OF COSMETOLOGY AND ESTHETICS NYC,NY,3,USA,www.theacademynyc.com
2744,ACADEMY OF ESTHETICS AND COSMETOLOGY,CA,3,USA,www.aecosmetology.com
4026,ACADEMY OF HAIR DESIGN-BEAUMONT,TX,3,USA,academyhairdesign.net
726,ACADEMY OF HAIR DESIGN-GRENADA,MS,3,USA,www.academyofhair.com/grenada-campus
1368,ACADEMY OF HAIR DESIGN-JACKSON,MS,3,USA,www.academyofhair.com
1372,ACADEMY OF HAIR DESIGN-JASPER,TX,3,USA,lufkinhairdesign.com
6289,ACADEMY OF HAIR DESIGN-LAS VEGAS,NV,3,USA,www.ahdvegas.com/
4025,ACADEMY OF HAIR DESIGN-LUFKIN,TX,3,USA,lufkinhairdesign.com
2089,ACADEMY OF HAIR DESIGN-OKLAHOMA CITY,OK,3,USA,www.academyofhairdesignok.com
1303,ACADEMY OF HAIR DESIGN-PEARL,MS,3,USA,www.academyofhair.com
1487,ACADEMY OF HAIR DESIGN-SPRINGFIELD,MO,3,USA,aohd.com/
2172,ACADEMY OF HAIR TECHNOLOGY,SC,3,USA,www.hairchamps.com
818,ACADEMY OF INTERACTIVE ENTERTAINMENT,WA,2,USA,https://www.aie.edu
2267,ACADEMY OF INTERACTIVE ENTERTAINMENT,LA,2,USA,www.theaie.us/
5935,ACADEMY OF MASSAGE AND BODYWORK,DE,3,USA,www.massage-academy.com
1523,ACADEMY OF NATURAL THERAPY INC,CO,3,USA,www.natural-therapy.com
2210,ACADEMY OF PROFESSIONAL COSMETOLOGY,AR,3,USA,www.apcschools.com
1262,ACADEMY OF SALON AND SPA,AR,3,USA,www.academysalonspa.com
1853,ACADEMY OF SALON PROFESSIONALS,MO,3,USA,www.academyofsalonprofessionals.com/
3337,ACADEMY OF VOCAL ARTS,PA,2,USA,www.avaopera.org
920,ACAYDIA SCHOOL OF AESTHETICS,UT,3,USA,www.acaydia.com
1950,ACCESS CAREERS,NY,3,USA,www.accesscareers.net
6557,ACCESS CAREERS-ISLANDIA,NY,3,USA,www.accesscareers.net
2144,ACE COSMETOLOGY AND BARBER TRAINING CENTER,CT,3,USA,acecosmetologybarbertraining.com
1484,ACE INSTITUTE OF TECHNOLOGY,NY,3,USA,www.acecareer.edu
2859,ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE-BERKELEY,CA,2,USA,https://www.aimc.edu
1183,ACUPUNCTURE AND MASSAGE COLLEGE,FL,3,USA,WWW.AMCOLLEGE.edu
5578,ADAMS STATE UNIVERSITY,CO,1,USA,www.adams.edu
4590,ADELPHI UNIVERSITY,NY,2,USA,www.adelphi.edu/
1245,ADIRONDACK COMMUNITY COLLEGE,NY,1,USA,www.sunyacc.edu
1367,ADLER GRADUATE SCHOOL,MN,2,USA,www.alfredadler.edu
3602,ADLER UNIVERSITY,IL,2,USA,www.adler.edu
1461,ADRIAN COLLEGE,MI,2,USA,www.adrian.edu
1522,ADRIAN'S COLLEGE OF BEAUTY TURLOCK,CA,3,USA,www.adrians.edu
927,ADULT AND COMMUNITY EDUCATION-HUDSON,OH,1,USA,https://www.ccsoh.us/domain/197
1348,ADULT AND CONTINUING EDUCATION-BCTS,NJ,1,USA,bcts.bergen.org/index.php/adult-ed-main-page
5244,ADVANCE BEAUTY COLLEGE,CA,3,USA,www.advancebeautycollege.com
540,ADVANCE BEAUTY TECHS ACADEMY,CA,3,USA,www.abt.edu/
1202,ADVANCE SCIENCE INTERNATIONAL COLLEGE,FL,3,USA,www.asicollege.edu
5850,ADVANCED BARBER COLLEGE AND HAIR DESIGN,TX,3,USA,abcrgv.com
917,ADVANCED BEAUTY COLLEGE,TX,3,USA,www.advancedbeautycollege.net
901,ADVANCED CAREER INSTITUTE,CA,3,USA,www.advanced.edu
4917,ADVANCED COLLEGE,CA,3,USA,www.advancedcollege.edu
6519,ADVANCED COLLEGE - SALIDA,CA,-3,USA,NOT AVAILABLE
1406,ADVANCED COLLEGE OF COSMETOLOGY,WI,3,USA,www.accsuccess.com
170,ADVANCED COLLEGE-STOCKTON,CA,3,USA,www.advancedcollege.edu
1149,ADVANCED TECHNOLOGY INSTITUTE,VA,3,USA,www.auto.edu
1203,ADVANCED TRAINING ASSOCIATES,CA,3,USA,www.advancedtraining.edu
1405,ADVANCED TRAINING INSTITUTE,NV,3,USA,www.atitraining.com
2554,ADVANCED WELDING INSTITUTE,VT,3,USA,www.awi.edu
224,ADVANTAGE CAREER INSTITUTE,NJ,3,USA,www.aci.edu
823,ADVENTHEALTH UNIVERSITY,FL,2,USA,www.ahu.edu
916,AESTHETIC SCIENCE INSTITUTE,NY,3,USA,www.aestheticscienceinstitute.edu
2897,AGNES SCOTT COLLEGE,GA,2,USA,www.agnesscott.edu
859,AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,FL,3,USA,www.artinstitutes.edu/miami/
915,AIKEN SCHOOL OF COSMETOLOGY AND BARBERING,SC,3,USA,www.ascandb.com
3227,AIKEN TECHNICAL COLLEGE,SC,1,USA,https://www.atc.edu
3148,AIMS COMMUNITY COLLEGE,CO,1,USA,www.aims.edu
335,AIR FORCE INSTITUTE OF TECHNOLOGY-GRADUATE SCHOOL OF ENGINEERING & MANAGEMENT,OH,1,USA,www.afit.edu
4694,ALABAMA A & M UNIVERSITY,AL,1,USA,www.aamu.edu/
1966,ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE,AL,2,USA,https://www.acom.edu
671,ALABAMA SCHOOL OF NAIL TECHNOLOGY & COSMETOLOGY,AL,3,USA,www.alabamaschoolofnailtechnology.com
4679,ALABAMA STATE COLLEGE OF BARBER STYLING,AL,3,USA,www.ascbs.edu
5670,ALABAMA STATE UNIVERSITY,AL,1,USA,www.alasu.edu
2506,ALAMANCE COMMUNITY COLLEGE,NC,1,USA,www.alamancecc.edu
1929,ALAMO CITY BARBER COLLEGE,TX,3,USA,www.alamocitybarbercollege.com
3046,ALAMO COMMUNITY COLLEGE DISTRICT CENTRAL OFFICE,TX,1,USA,alamo.edu/district/
826,ALASKA BIBLE COLLEGE,AK,2,USA,www.akbible.edu/
1375,ALASKA CAREER COLLEGE,AK,3,USA,www.alaskacareercollege.edu
